NumQuestions,count_nulls,count_not_nulls,CreationDateOnly
"4130","4063","67","2008-09-22 00:00:00"
"4342","4278","64","2008-09-23 00:00:00"
"4105","4039","66","2008-09-24 00:00:00"
"4194","4139","55","2008-09-25 00:00:00"
"3921","3863","58","2008-09-26 00:00:00"
"1469","1434","35","2008-09-27 00:00:00"
"1510","1474","36","2008-09-28 00:00:00"
"3049","3004","45","2008-09-29 00:00:00"
"3445","3387","58","2008-09-30 00:00:00"
"3200","3162","38","2008-10-01 00:00:00"
"3438","3393","45","2008-10-02 00:00:00"
"2887","2848","39","2008-10-03 00:00:00"
"1218","1200","18","2008-10-04 00:00:00"
"1088","1068","20","2008-10-05 00:00:00"
"2722","2682","40","2008-10-06 00:00:00"
"3045","2992","53","2008-10-07 00:00:00"
"3282","3239","43","2008-10-08 00:00:00"
"3150","3102","48","2008-10-09 00:00:00"
"2708","2668","40","2008-10-10 00:00:00"
"1045","1030","15","2008-10-11 00:00:00"
"1052","1036","16","2008-10-12 00:00:00"
"2407","2375","32","2008-10-13 00:00:00"
"2872","2830","42","2008-10-14 00:00:00"
"2604","2561","43","2008-10-15 00:00:00"
"2713","2670","43","2008-10-16 00:00:00"
"2533","2496","37","2008-10-17 00:00:00"
"1111","1091","20","2008-10-18 00:00:00"
"1022","1013","9","2008-10-19 00:00:00"
"2430","2405","25","2008-10-20 00:00:00"
"2861","2822","39","2008-10-21 00:00:00"
"2890","2851","39","2008-10-22 00:00:00"
"2770","2734","36","2008-10-23 00:00:00"
"2495","2468","27","2008-10-24 00:00:00"
"1114","1101","13","2008-10-25 00:00:00"
"1032","1019","13","2008-10-26 00:00:00"
"2045","2015","30","2008-10-27 00:00:00"
"2655","2619","36","2008-10-28 00:00:00"
"2693","2656","37","2008-10-29 00:00:00"
"2552","2522","30","2008-10-30 00:00:00"
"2256","2230","26","2008-10-31 00:00:00"
"752","738","14","2008-11-01 00:00:00"
"935","919","16","2008-11-02 00:00:00"
"2049","2020","29","2008-11-03 00:00:00"
"2657","2620","37","2008-11-04 00:00:00"
"2405","2376","29","2008-11-05 00:00:00"
"2727","2694","33","2008-11-06 00:00:00"
"2479","2442","37","2008-11-07 00:00:00"
"1037","1028","9","2008-11-08 00:00:00"
"980","960","20","2008-11-09 00:00:00"
"2292","2264","28","2008-11-10 00:00:00"
"2279","2253","26","2008-11-11 00:00:00"
"2577","2548","29","2008-11-12 00:00:00"
"2321","2286","35","2008-11-13 00:00:00"
"2285","2255","30","2008-11-14 00:00:00"
"1097","1077","20","2008-11-15 00:00:00"
"943","933","10","2008-11-16 00:00:00"
"2129","2101","28","2008-11-17 00:00:00"
"2375","2350","25","2008-11-18 00:00:00"
"2481","2452","29","2008-11-19 00:00:00"
"2452","2419","33","2008-11-20 00:00:00"
"2272","2235","37","2008-11-21 00:00:00"
"968","953","15","2008-11-22 00:00:00"
"930","920","10","2008-11-23 00:00:00"
"2118","2093","25","2008-11-24 00:00:00"
"2515","2484","31","2008-11-25 00:00:00"
"2373","2347","26","2008-11-26 00:00:00"
"1696","1667","29","2008-11-27 00:00:00"
"1548","1523","25","2008-11-28 00:00:00"
"949","936","13","2008-11-29 00:00:00"
"898","885","13","2008-11-30 00:00:00"
"2069","2047","22","2008-12-01 00:00:00"
"2394","2363","31","2008-12-02 00:00:00"
"2391","2362","29","2008-12-03 00:00:00"
"2498","2466","32","2008-12-04 00:00:00"
"2145","2112","33","2008-12-05 00:00:00"
"1011","999","12","2008-12-06 00:00:00"
"929","913","16","2008-12-07 00:00:00"
"2182","2154","28","2008-12-08 00:00:00"
"2417","2387","30","2008-12-09 00:00:00"
"2392","2368","24","2008-12-10 00:00:00"
"2497","2471","26","2008-12-11 00:00:00"
"2252","2220","32","2008-12-12 00:00:00"
"1005","989","16","2008-12-13 00:00:00"
"863","852","11","2008-12-14 00:00:00"
"2092","2064","28","2008-12-15 00:00:00"
"2297","2272","25","2008-12-16 00:00:00"
"2551","2517","34","2008-12-17 00:00:00"
"2414","2385","29","2008-12-18 00:00:00"
"2170","2141","29","2008-12-19 00:00:00"
"923","907","16","2008-12-20 00:00:00"
"903","891","12","2008-12-21 00:00:00"
"1877","1851","26","2008-12-22 00:00:00"
"1935","1918","17","2008-12-23 00:00:00"
"1343","1331","12","2008-12-24 00:00:00"
"575","562","13","2008-12-25 00:00:00"
"792","777","15","2008-12-26 00:00:00"
"828","814","14","2008-12-27 00:00:00"
"984","974","10","2008-12-28 00:00:00"
"1709","1688","21","2008-12-29 00:00:00"
"2076","2049","27","2008-12-30 00:00:00"
"1665","1642","23","2008-12-31 00:00:00"
"941","928","13","2009-01-01 00:00:00"
"1853","1834","19","2009-01-02 00:00:00"
"1248","1231","17","2009-01-03 00:00:00"
"1356","1338","18","2009-01-04 00:00:00"
"2256","2238","18","2009-01-05 00:00:00"
"2799","2755","44","2009-01-06 00:00:00"
"2967","2929","38","2009-01-07 00:00:00"
"2745","2709","36","2009-01-08 00:00:00"
"2620","2583","37","2009-01-09 00:00:00"
"1321","1311","10","2009-01-10 00:00:00"
"1514","1489","25","2009-01-11 00:00:00"
"2707","2681","26","2009-01-12 00:00:00"
"2783","2758","25","2009-01-13 00:00:00"
"2899","2861","38","2009-01-14 00:00:00"
"2976","2941","35","2009-01-15 00:00:00"
"2640","2603","37","2009-01-16 00:00:00"
"1287","1261","26","2009-01-17 00:00:00"
"1337","1314","23","2009-01-18 00:00:00"
"2619","2593","26","2009-01-19 00:00:00"
"3009","2975","34","2009-01-20 00:00:00"
"3043","3011","32","2009-01-21 00:00:00"
"2721","2691","30","2009-01-22 00:00:00"
"2800","2771","29","2009-01-23 00:00:00"
"1321","1303","18","2009-01-24 00:00:00"
"1160","1146","14","2009-01-25 00:00:00"
"2687","2653","34","2009-01-26 00:00:00"
"3094","3063","31","2009-01-27 00:00:00"
"3067","3040","27","2009-01-28 00:00:00"
"3138","3088","50","2009-01-29 00:00:00"
"2882","2848","34","2009-01-30 00:00:00"
"1488","1470","18","2009-01-31 00:00:00"
"1484","1468","16","2009-02-01 00:00:00"
"2766","2740","26","2009-02-02 00:00:00"
"3119","3083","36","2009-02-03 00:00:00"
"3445","3409","36","2009-02-04 00:00:00"
"3604","3571","33","2009-02-05 00:00:00"
"3234","3198","36","2009-02-06 00:00:00"
"1560","1530","30","2009-02-07 00:00:00"
"1439","1419","20","2009-02-08 00:00:00"
"3074","3026","48","2009-02-09 00:00:00"
"3414","3369","45","2009-02-10 00:00:00"
"3621","3572","49","2009-02-11 00:00:00"
"3832","3788","44","2009-02-12 00:00:00"
"3175","3143","32","2009-02-13 00:00:00"
"1387","1372","15","2009-02-14 00:00:00"
"1512","1496","16","2009-02-15 00:00:00"
"2518","2495","23","2009-02-16 00:00:00"
"3409","3378","31","2009-02-17 00:00:00"
"3308","3262","46","2009-02-18 00:00:00"
"3301","3257","44","2009-02-19 00:00:00"
"3060","3027","33","2009-02-20 00:00:00"
"1523","1504","19","2009-02-21 00:00:00"
"1658","1631","27","2009-02-22 00:00:00"
"3059","3022","37","2009-02-23 00:00:00"
"3444","3410","34","2009-02-24 00:00:00"
"3386","3356","30","2009-02-25 00:00:00"
"3710","3673","37","2009-02-26 00:00:00"
"3366","3326","40","2009-02-27 00:00:00"
"1440","1423","17","2009-02-28 00:00:00"
"1469","1454","15","2009-03-01 00:00:00"
"3005","2968","37","2009-03-02 00:00:00"
"3365","3326","39","2009-03-03 00:00:00"
"3531","3498","33","2009-03-04 00:00:00"
"3455","3423","32","2009-03-05 00:00:00"
"3049","3018","31","2009-03-06 00:00:00"
"1475","1457","18","2009-03-07 00:00:00"
"1493","1471","22","2009-03-08 00:00:00"
"3274","3246","28","2009-03-09 00:00:00"
"3345","3319","26","2009-03-10 00:00:00"
"3238","3209","29","2009-03-11 00:00:00"
"3302","3266","36","2009-03-12 00:00:00"
"3284","3244","40","2009-03-13 00:00:00"
"1531","1501","30","2009-03-14 00:00:00"
"1479","1461","18","2009-03-15 00:00:00"
"3162","3128","34","2009-03-16 00:00:00"
"3102","3076","26","2009-03-17 00:00:00"
"3290","3251","39","2009-03-18 00:00:00"
"3072","3038","34","2009-03-19 00:00:00"
"3136","3105","31","2009-03-20 00:00:00"
"1527","1511","16","2009-03-21 00:00:00"
"1313","1299","14","2009-03-22 00:00:00"
"3190","3163","27","2009-03-23 00:00:00"
"3334","3296","38","2009-03-24 00:00:00"
"3457","3428","29","2009-03-25 00:00:00"
"3293","3257","36","2009-03-26 00:00:00"
"3141","3114","27","2009-03-27 00:00:00"
"1558","1540","18","2009-03-28 00:00:00"
"1522","1505","17","2009-03-29 00:00:00"
"3145","3124","21","2009-03-30 00:00:00"
"3162","3129","33","2009-03-31 00:00:00"
"3360","3327","33","2009-04-01 00:00:00"
"3563","3522","41","2009-04-02 00:00:00"
"3362","3324","38","2009-04-03 00:00:00"
"1605","1590","15","2009-04-04 00:00:00"
"1487","1465","22","2009-04-05 00:00:00"
"3136","3104","32","2009-04-06 00:00:00"
"3446","3409","37","2009-04-07 00:00:00"
"3573","3535","38","2009-04-08 00:00:00"
"3362","3329","33","2009-04-09 00:00:00"
"2331","2303","28","2009-04-10 00:00:00"
"1485","1471","14","2009-04-11 00:00:00"
"1275","1267","8","2009-04-12 00:00:00"
"2543","2514","29","2009-04-13 00:00:00"
"3205","3183","22","2009-04-14 00:00:00"
"3661","3613","48","2009-04-15 00:00:00"
"3466","3437","29","2009-04-16 00:00:00"
"3323","3287","36","2009-04-17 00:00:00"
"1601","1584","17","2009-04-18 00:00:00"
"1580","1558","22","2009-04-19 00:00:00"
"3394","3361","33","2009-04-20 00:00:00"
"3877","3837","40","2009-04-21 00:00:00"
"3714","3665","49","2009-04-22 00:00:00"
"3555","3519","36","2009-04-23 00:00:00"
"3101","3068","33","2009-04-24 00:00:00"
"1716","1700","16","2009-04-25 00:00:00"
"1538","1519","19","2009-04-26 00:00:00"
"3211","3184","27","2009-04-27 00:00:00"
"3764","3734","30","2009-04-28 00:00:00"
"3718","3679","39","2009-04-29 00:00:00"
"3973","3931","42","2009-04-30 00:00:00"
"3298","3275","23","2009-05-01 00:00:00"
"1782","1758","24","2009-05-02 00:00:00"
"1969","1951","18","2009-05-03 00:00:00"
"3554","3523","31","2009-05-04 00:00:00"
"3988","3949","39","2009-05-05 00:00:00"
"4017","3989","28","2009-05-06 00:00:00"
"4364","4316","48","2009-05-07 00:00:00"
"3962","3928","34","2009-05-08 00:00:00"
"1754","1728","26","2009-05-09 00:00:00"
"1630","1615","15","2009-05-10 00:00:00"
"3561","3518","43","2009-05-11 00:00:00"
"4102","4060","42","2009-05-12 00:00:00"
"4660","4622","38","2009-05-13 00:00:00"
"4580","4529","51","2009-05-14 00:00:00"
"3966","3924","42","2009-05-15 00:00:00"
"1847","1835","12","2009-05-16 00:00:00"
"1815","1804","11","2009-05-17 00:00:00"
"3842","3803","39","2009-05-18 00:00:00"
"4307","4265","42","2009-05-19 00:00:00"
"4333","4294","39","2009-05-20 00:00:00"
"4214","4178","36","2009-05-21 00:00:00"
"3886","3857","29","2009-05-22 00:00:00"
"1835","1813","22","2009-05-23 00:00:00"
"1778","1764","14","2009-05-24 00:00:00"
"2806","2787","19","2009-05-25 00:00:00"
"4039","4006","33","2009-05-26 00:00:00"
"4430","4405","25","2009-05-27 00:00:00"
"4396","4356","40","2009-05-28 00:00:00"
"4106","4068","38","2009-05-29 00:00:00"
"1918","1899","19","2009-05-30 00:00:00"
"1847","1827","20","2009-05-31 00:00:00"
"3529","3494","35","2009-06-01 00:00:00"
"4336","4300","36","2009-06-02 00:00:00"
"4435","4403","32","2009-06-03 00:00:00"
"4898","4851","47","2009-06-04 00:00:00"
"4077","4038","39","2009-06-05 00:00:00"
"1876","1864","12","2009-06-06 00:00:00"
"1795","1779","16","2009-06-07 00:00:00"
"3859","3825","34","2009-06-08 00:00:00"
"4574","4535","39","2009-06-09 00:00:00"
"4684","4642","42","2009-06-10 00:00:00"
"4766","4736","30","2009-06-11 00:00:00"
"4278","4239","39","2009-06-12 00:00:00"
"1853","1827","26","2009-06-13 00:00:00"
"1798","1783","15","2009-06-14 00:00:00"
"4148","4099","49","2009-06-15 00:00:00"
"4429","4385","44","2009-06-16 00:00:00"
"4654","4612","42","2009-06-17 00:00:00"
"4807","4762","45","2009-06-18 00:00:00"
"4011","3971","40","2009-06-19 00:00:00"
"1913","1887","26","2009-06-20 00:00:00"
"1871","1850","21","2009-06-21 00:00:00"
"4100","4053","47","2009-06-22 00:00:00"
"4903","4856","47","2009-06-23 00:00:00"
"4757","4709","48","2009-06-24 00:00:00"
"4382","4346","36","2009-06-25 00:00:00"
"4157","4120","37","2009-06-26 00:00:00"
"1783","1771","12","2009-06-27 00:00:00"
"1842","1819","23","2009-06-28 00:00:00"
"4207","4172","35","2009-06-29 00:00:00"
"4647","4592","55","2009-06-30 00:00:00"
"4373","4335","38","2009-07-01 00:00:00"
"4405","4353","52","2009-07-02 00:00:00"
"3228","3201","27","2009-07-03 00:00:00"
"1693","1667","26","2009-07-04 00:00:00"
"1551","1535","16","2009-07-05 00:00:00"
"3983","3954","29","2009-07-06 00:00:00"
"4742","4689","53","2009-07-07 00:00:00"
"4819","4771","48","2009-07-08 00:00:00"
"4958","4909","49","2009-07-09 00:00:00"
"4551","4507","44","2009-07-10 00:00:00"
"2067","2046","21","2009-07-11 00:00:00"
"1873","1851","22","2009-07-12 00:00:00"
"4501","4463","38","2009-07-13 00:00:00"
"4964","4915","49","2009-07-14 00:00:00"
"5061","5019","42","2009-07-15 00:00:00"
"5165","5117","48","2009-07-16 00:00:00"
"4479","4441","38","2009-07-17 00:00:00"
"2195","2169","26","2009-07-18 00:00:00"
"1954","1934","20","2009-07-19 00:00:00"
"4471","4434","37","2009-07-20 00:00:00"
"4816","4773","43","2009-07-21 00:00:00"
"5387","5333","54","2009-07-22 00:00:00"
"5173","5125","48","2009-07-23 00:00:00"
"4579","4538","41","2009-07-24 00:00:00"
"2189","2161","28","2009-07-25 00:00:00"
"2121","2105","16","2009-07-26 00:00:00"
"4416","4373","43","2009-07-27 00:00:00"
"5045","4992","53","2009-07-28 00:00:00"
"5219","5173","46","2009-07-29 00:00:00"
"5146","5087","59","2009-07-30 00:00:00"
"4500","4463","37","2009-07-31 00:00:00"
"1981","1964","17","2009-08-01 00:00:00"
"1877","1862","15","2009-08-02 00:00:00"
"4220","4187","33","2009-08-03 00:00:00"
"4369","4320","49","2009-08-04 00:00:00"
"4833","4796","37","2009-08-05 00:00:00"
"4954","4905","49","2009-08-06 00:00:00"
"4394","4355","39","2009-08-07 00:00:00"
"2128","2112","16","2009-08-08 00:00:00"
"2028","2004","24","2009-08-09 00:00:00"
"4326","4283","43","2009-08-10 00:00:00"
"4740","4709","31","2009-08-11 00:00:00"
"4854","4814","40","2009-08-12 00:00:00"
"5054","5013","41","2009-08-13 00:00:00"
"4581","4541","40","2009-08-14 00:00:00"
"1964","1946","18","2009-08-15 00:00:00"
"2076","2054","22","2009-08-16 00:00:00"
"4520","4486","34","2009-08-17 00:00:00"
"5062","5032","30","2009-08-18 00:00:00"
"5120","5070","50","2009-08-19 00:00:00"
"5206","5161","45","2009-08-20 00:00:00"
"4264","4226","38","2009-08-21 00:00:00"
"2165","2148","17","2009-08-22 00:00:00"
"2060","2036","24","2009-08-23 00:00:00"
"4581","4547","34","2009-08-24 00:00:00"
"5230","5194","36","2009-08-25 00:00:00"
"5507","5455","52","2009-08-26 00:00:00"
"5024","4980","44","2009-08-27 00:00:00"
"4660","4622","38","2009-08-28 00:00:00"
"2247","2227","20","2009-08-29 00:00:00"
"2219","2194","25","2009-08-30 00:00:00"
"3990","3955","35","2009-08-31 00:00:00"
"4461","4428","33","2009-09-01 00:00:00"
"4569","4532","37","2009-09-02 00:00:00"
"4941","4904","37","2009-09-03 00:00:00"
"4533","4498","35","2009-09-04 00:00:00"
"2072","2056","16","2009-09-05 00:00:00"
"2091","2068","23","2009-09-06 00:00:00"
"3556","3532","24","2009-09-07 00:00:00"
"4696","4658","38","2009-09-08 00:00:00"
"5007","4977","30","2009-09-09 00:00:00"
"4740","4703","37","2009-09-10 00:00:00"
"4542","4508","34","2009-09-11 00:00:00"
"2250","2234","16","2009-09-12 00:00:00"
"2247","2227","20","2009-09-13 00:00:00"
"4407","4380","27","2009-09-14 00:00:00"
"4822","4783","39","2009-09-15 00:00:00"
"4904","4874","30","2009-09-16 00:00:00"
"4841","4805","36","2009-09-17 00:00:00"
"4397","4365","32","2009-09-18 00:00:00"
"2110","2093","17","2009-09-19 00:00:00"
"2112","2088","24","2009-09-20 00:00:00"
"4332","4301","31","2009-09-21 00:00:00"
"4780","4741","39","2009-09-22 00:00:00"
"4909","4873","36","2009-09-23 00:00:00"
"4596","4566","30","2009-09-24 00:00:00"
"4387","4354","33","2009-09-25 00:00:00"
"2007","1989","18","2009-09-26 00:00:00"
"2020","2010","10","2009-09-27 00:00:00"
"4327","4300","27","2009-09-28 00:00:00"
"4828","4782","46","2009-09-29 00:00:00"
"4839","4802","37","2009-09-30 00:00:00"
"4893","4860","33","2009-10-01 00:00:00"
"4348","4317","31","2009-10-02 00:00:00"
"2378","2358","20","2009-10-03 00:00:00"
"2180","2161","19","2009-10-04 00:00:00"
"4439","4413","26","2009-10-05 00:00:00"
"4922","4882","40","2009-10-06 00:00:00"
"5186","5144","42","2009-10-07 00:00:00"
"5404","5359","45","2009-10-08 00:00:00"
"4544","4501","43","2009-10-09 00:00:00"
"2312","2299","13","2009-10-10 00:00:00"
"2239","2217","22","2009-10-11 00:00:00"
"4528","4488","40","2009-10-12 00:00:00"
"5041","5011","30","2009-10-13 00:00:00"
"5091","5047","44","2009-10-14 00:00:00"
"5192","5152","40","2009-10-15 00:00:00"
"4370","4336","34","2009-10-16 00:00:00"
"2171","2154","17","2009-10-17 00:00:00"
"2317","2295","22","2009-10-18 00:00:00"
"4495","4466","29","2009-10-19 00:00:00"
"5246","5197","49","2009-10-20 00:00:00"
"5237","5188","49","2009-10-21 00:00:00"
"5339","5294","45","2009-10-22 00:00:00"
"4853","4828","25","2009-10-23 00:00:00"
"2502","2480","22","2009-10-24 00:00:00"
"2466","2441","25","2009-10-25 00:00:00"
"4529","4497","32","2009-10-26 00:00:00"
"5400","5357","43","2009-10-27 00:00:00"
"5455","5420","35","2009-10-28 00:00:00"
"5317","5282","35","2009-10-29 00:00:00"
"4729","4703","26","2009-10-30 00:00:00"
"2579","2554","25","2009-10-31 00:00:00"
"2384","2365","19","2009-11-01 00:00:00"
"4750","4705","45","2009-11-02 00:00:00"
"5521","5475","46","2009-11-03 00:00:00"
"5602","5566","36","2009-11-04 00:00:00"
"5959","5930","29","2009-11-05 00:00:00"
"5696","5656","40","2009-11-06 00:00:00"
"2916","2894","22","2009-11-07 00:00:00"
"2790","2768","22","2009-11-08 00:00:00"
"5318","5285","33","2009-11-09 00:00:00"
"6149","6098","51","2009-11-10 00:00:00"
"5698","5647","51","2009-11-11 00:00:00"
"6125","6063","62","2009-11-12 00:00:00"
"5378","5338","40","2009-11-13 00:00:00"
"2907","2875","32","2009-11-14 00:00:00"
"2769","2746","23","2009-11-15 00:00:00"
"5333","5284","49","2009-11-16 00:00:00"
"5891","5850","41","2009-11-17 00:00:00"
"6108","6069","39","2009-11-18 00:00:00"
"6283","6234","49","2009-11-19 00:00:00"
"5193","5155","38","2009-11-20 00:00:00"
"2763","2737","26","2009-11-21 00:00:00"
"2666","2638","28","2009-11-22 00:00:00"
"5403","5366","37","2009-11-23 00:00:00"
"5812","5762","50","2009-11-24 00:00:00"
"5924","5876","48","2009-11-25 00:00:00"
"4588","4551","37","2009-11-26 00:00:00"
"4121","4091","30","2009-11-27 00:00:00"
"2613","2591","22","2009-11-28 00:00:00"
"2563","2550","13","2009-11-29 00:00:00"
"5121","5087","34","2009-11-30 00:00:00"
"5461","5422","39","2009-12-01 00:00:00"
"5827","5777","50","2009-12-02 00:00:00"
"6056","6012","44","2009-12-03 00:00:00"
"5503","5468","35","2009-12-04 00:00:00"
"2861","2842","19","2009-12-05 00:00:00"
"2619","2603","16","2009-12-06 00:00:00"
"5542","5512","30","2009-12-07 00:00:00"
"5845","5803","42","2009-12-08 00:00:00"
"5763","5723","40","2009-12-09 00:00:00"
"6033","5991","42","2009-12-10 00:00:00"
"5500","5461","39","2009-12-11 00:00:00"
"2819","2801","18","2009-12-12 00:00:00"
"2696","2671","25","2009-12-13 00:00:00"
"5184","5148","36","2009-12-14 00:00:00"
"5947","5904","43","2009-12-15 00:00:00"
"6226","6177","49","2009-12-16 00:00:00"
"5716","5683","33","2009-12-17 00:00:00"
"4947","4905","42","2009-12-18 00:00:00"
"2602","2585","17","2009-12-19 00:00:00"
"2513","2490","23","2009-12-20 00:00:00"
"4918","4885","33","2009-12-21 00:00:00"
"5580","5534","46","2009-12-22 00:00:00"
"5088","5054","34","2009-12-23 00:00:00"
"3387","3346","41","2009-12-24 00:00:00"
"1724","1705","19","2009-12-25 00:00:00"
"1956","1943","13","2009-12-26 00:00:00"
"2289","2267","22","2009-12-27 00:00:00"
"4014","3977","37","2009-12-28 00:00:00"
"4623","4584","39","2009-12-29 00:00:00"
"4656","4622","34","2009-12-30 00:00:00"
"3624","3597","27","2009-12-31 00:00:00"
"2179","2163","16","2010-01-01 00:00:00"
"2724","2696","28","2010-01-02 00:00:00"
"2858","2838","20","2010-01-03 00:00:00"
"5362","5325","37","2010-01-04 00:00:00"
"5685","5655","30","2010-01-05 00:00:00"
"6130","6091","39","2010-01-06 00:00:00"
"6291","6222","69","2010-01-07 00:00:00"
"5866","5815","51","2010-01-08 00:00:00"
"3197","3173","24","2010-01-09 00:00:00"
"3188","3159","29","2010-01-10 00:00:00"
"5510","5471","39","2010-01-11 00:00:00"
"6282","6234","48","2010-01-12 00:00:00"
"6516","6453","63","2010-01-13 00:00:00"
"6068","6030","38","2010-01-14 00:00:00"
"5992","5942","50","2010-01-15 00:00:00"
"3229","3202","27","2010-01-16 00:00:00"
"3098","3075","23","2010-01-17 00:00:00"
"5814","5774","40","2010-01-18 00:00:00"
"6834","6779","55","2010-01-19 00:00:00"
"6628","6573","55","2010-01-20 00:00:00"
"6673","6621","52","2010-01-21 00:00:00"
"6180","6131","49","2010-01-22 00:00:00"
"3230","3203","27","2010-01-23 00:00:00"
"3585","3558","27","2010-01-24 00:00:00"
"5993","5941","52","2010-01-25 00:00:00"
"6055","6011","44","2010-01-26 00:00:00"
"6588","6524","64","2010-01-27 00:00:00"
"6439","6396","43","2010-01-28 00:00:00"
"6076","6037","39","2010-01-29 00:00:00"
"3189","3152","37","2010-01-30 00:00:00"
"3341","3311","30","2010-01-31 00:00:00"
"5965","5922","43","2010-02-01 00:00:00"
"6542","6485","57","2010-02-02 00:00:00"
"6501","6452","49","2010-02-03 00:00:00"
"6568","6520","48","2010-02-04 00:00:00"
"6127","6079","48","2010-02-05 00:00:00"
"3303","3266","37","2010-02-06 00:00:00"
"3048","3032","16","2010-02-07 00:00:00"
"5772","5735","37","2010-02-08 00:00:00"
"6491","6429","62","2010-02-09 00:00:00"
"6621","6564","57","2010-02-10 00:00:00"
"6271","6230","41","2010-02-11 00:00:00"
"6034","5984","50","2010-02-12 00:00:00"
"3133","3101","32","2010-02-13 00:00:00"
"3098","3068","30","2010-02-14 00:00:00"
"5379","5330","49","2010-02-15 00:00:00"
"6422","6354","68","2010-02-16 00:00:00"
"6812","6764","48","2010-02-17 00:00:00"
"6603","6559","44","2010-02-18 00:00:00"
"6114","6063","51","2010-02-19 00:00:00"
"3129","3102","27","2010-02-20 00:00:00"
"3167","3143","24","2010-02-21 00:00:00"
"6060","6022","38","2010-02-22 00:00:00"
"6331","6284","47","2010-02-23 00:00:00"
"6665","6610","55","2010-02-24 00:00:00"
"6617","6564","53","2010-02-25 00:00:00"
"5795","5747","48","2010-02-26 00:00:00"
"3194","3162","32","2010-02-27 00:00:00"
"3147","3117","30","2010-02-28 00:00:00"
"5680","5631","49","2010-03-01 00:00:00"
"6600","6544","56","2010-03-02 00:00:00"
"6691","6637","54","2010-03-03 00:00:00"
"6490","6446","44","2010-03-04 00:00:00"
"6063","6018","45","2010-03-05 00:00:00"
"3202","3169","33","2010-03-06 00:00:00"
"3325","3302","23","2010-03-07 00:00:00"
"6075","6031","44","2010-03-08 00:00:00"
"6688","6645","43","2010-03-09 00:00:00"
"6804","6750","54","2010-03-10 00:00:00"
"6674","6619","55","2010-03-11 00:00:00"
"5910","5867","43","2010-03-12 00:00:00"
"3337","3306","31","2010-03-13 00:00:00"
"3174","3147","27","2010-03-14 00:00:00"
"5835","5786","49","2010-03-15 00:00:00"
"6597","6544","53","2010-03-16 00:00:00"
"6405","6370","35","2010-03-17 00:00:00"
"6210","6165","45","2010-03-18 00:00:00"
"5992","5957","35","2010-03-19 00:00:00"
"3350","3326","24","2010-03-20 00:00:00"
"3354","3343","11","2010-03-21 00:00:00"
"6140","6086","54","2010-03-22 00:00:00"
"6583","6538","45","2010-03-23 00:00:00"
"6509","6468","41","2010-03-24 00:00:00"
"6660","6623","37","2010-03-25 00:00:00"
"6038","5994","44","2010-03-26 00:00:00"
"3176","3149","27","2010-03-27 00:00:00"
"3096","3068","28","2010-03-28 00:00:00"
"5784","5753","31","2010-03-29 00:00:00"
"6299","6254","45","2010-03-30 00:00:00"
"6428","6379","49","2010-03-31 00:00:00"
"5763","5723","40","2010-04-01 00:00:00"
